radio;mcc;net;area;cell;unit;lon;lat;range;samples;changeable;created;updated;averageSignal
GSM;218;3;30;2145;0;19.2754;44.8194;6028;18;1;1472569892;1726935979;0
GSM;218;5;8;3672;0;18.5589;43.5557;7807;29;1;1472929851;1696062784;0
GSM;218;5;8;3941;0;18.647;43.512;5518;35;1;1472906476;1696062003;0
GSM;218;5;8;3674;0;18.5247;43.5831;6344;28;1;1472906476;1696131661;0
GSM;218;5;8;3943;0;18.61;43.5223;5573;51;1;1472929851;1696062363;0
GSM;218;5;8;3673;0;18.4635;43.5771;6307;128;1;1473557001;1696134241;0
GSM;218;5;6;22961;0;18.0544;44.7657;2891;10;1;1473580730;1695998882;0
GSM;218;5;6;22962;0;18.074;44.756;2897;27;1;1473557014;1695999126;0
GSM;218;5;8;11571;0;18.6997;43.5032;4538;36;1;1473556996;1696011122;0
GSM;218;5;8;12922;0;18.7197;43.4937;6386;38;1;1473556996;1696061466;0
UMTS;218;3;40;217309;240;18.0938;44.1176;5798;25;1;1473674760;1735910765;0
UMTS;218;3;40;217118;3;18.2959;43.9332;1343;50;1;1473649122;1735910724;0
UMTS;218;3;70;206768;292;18.0807;44.4887;1000;18;1;1473649116;1735910769;0
UMTS;218;3;40;217119;11;18.2429;43.9747;3668;51;1;1473649122;1735910794;0
UMTS;218;3;70;221918;174;18.002;44.3696;1000;16;1;1473649118;1735910767;0
UMTS;218;3;70;221920;411;18.0361;44.4333;4676;22;1;1473649116;1735910769;0
UMTS;218;3;40;220718;30;18.1151;44.046;8176;51;1;1473674760;1735910800;0
UMTS;218;3;40;227080;446;18.2957;43.8775;1000;2;1;1473649124;1712464703;0
GSM;218;3;70;2114;0;17.8858;44.7565;16012;16;1;1473950682;1735964885;0
GSM;218;3;70;1330;0;18.0635;44.823;12348;50;1;1473950687;1735964888;0
GSM;218;3;70;2113;0;18.0452;44.7621;6589;4;1;1473950687;1735964885;0
GSM;218;3;30;1080;0;18.5864;44.9946;22861;63;1;1477894011;1719046323;0
GSM;218;3;30;3210;0;19.128;44.5113;1000;8;1;1482424770;1719433748;0
GSM;218;3;40;2907;0;18.5693;43.7317;4911;133;1;1486920111;1722160083;0
GSM;218;3;40;3767;0;18.3294;43.8153;2648;7;1;1491911846;1719651366;0
GSM;218;3;40;3768;0;18.3211;43.8305;3577;18;1;1491916171;1722196982;0
GSM;218;3;70;3575;0;18.0876;44.7227;4601;37;1;1492453800;1695999781;0
GSM;218;3;70;2356;0;18.0811;44.714;2272;17;1;1492406286;1722203293;0
UMTS;218;5;51;2676542;98;18.3855;43.8499;1000;5;1;1505850542;1719651367;0
UMTS;218;3;30;229620;152;18.3079;45.0193;1918;16;1;1492540200;1719046323;0
UMTS;218;5;51;2683721;450;18.424;43.8581;1000;10;1;1505479994;1719651368;0
UMTS;218;5;51;2680982;405;18.4306;43.8555;5759;27;1;1505484866;1719651372;0
UMTS;218;5;51;2663725;451;18.394;43.8448;2962;2;1;1505487975;1719651365;0
UMTS;218;5;50;2016451;249;18.9475;44.1788;15228;17;1;1505667269;1719651382;0
GSM;218;5;1;371;-1;18.9597;44.1811;15541;27;1;1505667256;1719433753;0
UMTS;218;5;50;2000614;86;18.9421;44.1837;1000;2;1;1505664145;1719433753;0
GSM;218;3;70;3574;-1;18.0956;44.7384;4549;13;1;1495940651;1735964885;0
UMTS;218;5;53;2023921;361;19.3049;44.8576;6447;22;1;1513437489;1734189371;0
